name,cv,initial,final
CD16,10,9.883235532,0.821245440098542
CD20_SUDHL4,10,390,84056.842666183
CD20_Z138,10,390,19558.5787637564
E0toT0,0,25,22.1923098998627
Estar0,0,0,NaN
RTX,0,53.7496,0.0386550330798459
T0,0,1,0.992103912422909
g_SUDHL4,1,0.026874477,0.0176082838268803
g_Z138,1,0.026874477,0.278518771800322
gamma,Inf,3.37e-06,5.97015262776012e-12
gammaPerf,0,1,1.00476304681983
h,0,10,40.8620350646093
kexp,10,1.129546307,1.03568492940331
koff16,0.1,16.956,16.9641463317973
koff16_V158,0.1,16.956,94.5096148567013
koff20,0,0.0468,0.515394892377199
kon16,0,0.027,0.00228168124117803
kon20,0,0.0504,0.00196955144091428
r,10,2.813069022,7.75339939584446
